Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:57,2561-03-29 04:25:57,0.111s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:57,2561-03-29 04:25:57,0.084s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:57,2561-03-29 04:25:57,0.085s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:25:57,2561-03-29 04:25:58,0.127s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:25:58,2561-03-29 04:25:58,0.059s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-29 04:25:58,2561-03-29 04:25:58,0.632s,PASSED
,,,,,,
Test Cases/Create_Course_BlankCredit_MessagePleaseFill,Chrome 65.0.3325.181,,2561-03-29 04:25:58,2561-03-29 04:26:02,4.013s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-29 04:25:58,2561-03-29 04:26:00,1.923s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-29 04:26:00,2561-03-29 04:26:01,0.486s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:01,0.140s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:01,0.090s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:01,0.059s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:01,0.166s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:01,0.059s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:01,0.038s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:01,0.085s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:01,0.077s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:01,2561-03-29 04:26:02,0.116s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:02,2561-03-29 04:26:02,0.057s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2561-03-29 04:26:02,2561-03-29 04:26:02,0.604s,PASSED
,,,,,,
Test Cases/Create_Course_BlankLecturer_MessagePleaseFill,Chrome 65.0.3325.181,,2561-03-29 04:26:02,2561-03-29 04:26:07,4.366s,PASSED
openBrowser,Chrome 65.0.3325.181,,2561-03-29 04:26:02,2561-03-29 04:26:05,2.155s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2561-03-29 04:26:05,2561-03-29 04:26:05,0.530s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:05,2561-03-29 04:26:05,0.135s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:05,2561-03-29 04:26:05,0.125s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:05,2561-03-29 04:26:05,0.086s,PASSED
selectOptionByValue,Chrome 65.0.3325.181,,2561-03-29 04:26:05,2561-03-29 04:26:06,0.241s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:06,2561-03-29 04:26:06,0.059s,PASSED
click,Chrome 65.0.3325.181,,2561-03-29 04:26:06,2561-03-29 04:26:06,0.039s,PASSED
setText,Chrome 65.0.3325.181,,2561-03-29 04:26:06,2561-03-29 04:26:06,0.078s,PASSED
